asset_id,structure_id,catchment_id,road_segment,service_area,road_class,culvert_shape,culvert_material,diameter_mm,span_mm,rise_mm,barrel_count,culvert_length_m,upstream_invert_m,downstream_invert_m,register_slope_percent,inspection_date,inspection_method,observed_blockage_percent,structural_condition_score,hydraulic_condition_score,inlet_condition,outlet_condition,reported_overtopping,recent_backwater_depth_m,maintenance_status,last_cleaned_date,register_note
CUL-001,SWC-001,CA-01,Oak Mill Road,North,Local,Circular,Reinforced concrete pipe,600,,,1,18.5,112.46,112.13,1.78,11/03/2025,Walk-through,12,4,4,Minor debris at inlet,Clear outlet,No,0.05,No action,18/10/2024,Routine condition
CUL-002,SWC-002,CA-01,Oak Mill Road,North,Local,Circular,HDPE,450,,,1,12,111.78,111.66,1,11/03/2025,Walk-through,18,4,3,Vegetation at inlet,Minor outlet scour,No,0.08,Monitor,02/11/2024,Seasonal vegetation
CUL-003,SWC-003,CA-02,Maple Service Road,North,Collector,Box,Concrete box,,1200,900,1,26.5,108.95,108.54,1.55,12/03/2025,Walk-through,8,5,4,Clear inlet,Clear outlet,No,0.03,No action,20/09/2024,Good access
CUL-004,SWC-004,CA-02,Maple Service Road,North,Collector,Circular,Corrugated metal pipe,900,,,1,34,107.82,107.28,1.59,12/03/2025,Walk-through,35,3,3,Sediment shelf at inlet,Minor corrosion at outlet,No,0.18,Routine clean,29/08/2024,Sediment accumulation
CUL-005,SWC-005,CA-03,Riverbend Avenue,Central,Arterial,Box,Concrete box,,1800,1200,2,42,104.31,103.82,1.17,13/03/2025,CCTV spot check,22,4,3,Small trash rack debris,Clear outlet,No,0.24,Monitor,17/01/2025,Dual barrel
CUL-006,SWC-006,CA-03,Riverbend Avenue,Central,Arterial,Circular,Reinforced concrete pipe,1200,,,2,39.5,103.74,103.28,1.16,13/03/2025,Walk-through,48,3,2,Heavy sediment at inlet,Standing water at outlet,Unknown,0.46,Work order open,04/12/2024,Repeat sediment
CUL-007,SWC-007,CA-04,Pine Ridge Lane,West,Local,Circular,HDPE,375,,,1,9,116.18,116.1,0.89,14/03/2025,Walk-through,5,5,5,Clear inlet,Clear outlet,No,0,No action,01/10/2024,Small driveway crossing
CUL-008,SWC-008,CA-04,Pine Ridge Lane,West,Local,Pipe arch,Corrugated metal pipe,,1300,900,1,21.5,115.6,115.22,1.77,14/03/2025,Walk-through,28,3,3,Leaf mat at inlet,Minor outlet scour,No,0.2,Monitor,14/09/2024,Arch barrel
CUL-009,SWC-009,CA-05,Willow Creek Drive,West,Collector,Circular,Corrugated metal pipe,750,,,1,29,101.82,101.38,1.52,17/03/2025,Walk-through,55,2,2,Partially buried inlet,Outlet erosion,No,0.58,No action,11/06/2024,Outlet erosion observed during inspection
CUL-010,SWC-010,CA-05,Willow Creek Drive,West,Collector,Box,Concrete box,,1500,1000,1,36,100.95,100.53,1.17,17/03/2025,Walk-through,42,3,2,Sediment wedge,Vegetation at outlet,No,0.51,Routine clean,22/07/2024,Moderate sediment
CUL-011,SWC-011,CA-06,Harbor Industrial Road,South,Industrial,Circular,Reinforced concrete pipe,1500,,,1,55,92.45,91.82,1.15,18/03/2025,CCTV spot check,15,4,4,Clear inlet,Clear outlet,No,0.15,No action,10/02/2025,Deep cover
CUL-012,SWC-012,CA-06,Harbor Industrial Road,South,Industrial,Circular,Corrugated metal pipe,1050,,,1,48,91.88,91.11,1.6,18/03/2025,CCTV spot check,63,2,2,Debris lodged at inlet,Corrosion and scour at outlet,Yes,0.82,Work order open,19/11/2024,Known nuisance flooding
CUL-013,SWC-013,CA-07,Cedar School Road,East,Collector,Box,Concrete box,,2100,1200,1,44,97.62,97.2,0.95,19/03/2025,Walk-through,10,4,4,Clear inlet,Minor outlet vegetation,No,0.1,No action,15/12/2024,School frontage
CUL-014,SWC-014,CA-07,Cedar School Road,East,Collector,Circular,Reinforced concrete pipe,,900,900,1,27,96.94,96.55,1.44,19/03/2025,Walk-through,24,4,3,Silt line at inlet,Clear outlet,No,0.18,Monitor,15/12/2024,Field sketch available from recent inspection
CUL-015,SWC-015,CA-08,Old Quarry Road,East,Local,Pipe arch,Corrugated metal pipe,,1600,1050,1,30,88.52,88.1,1.4,20/03/2025,Walk-through,38,3,3,Vegetation and gravel at inlet,Minor scour,No,0.33,Routine clean,27/05/2024,Gravel shoulder runoff
CUL-016,SWC-016,CA-08,Old Quarry Road,East,Local,Circular,HDPE,600,,,1,16,89.14,89.02,0.75,20/03/2025,Walk-through,72,4,2,Blocked by leaves,Submerged outlet lip,No,0.7,Monitor,04/01/2025,Recent winter debris
CUL-017,SWC-017,CA-09,North Station Access,North,Collector,Box,Concrete box,,2400,1500,2,62,82.8,82.18,1,21/03/2025,CCTV spot check,18,4,4,Clear inlet,Clear outlet,No,0.12,No action,09/09/2024,Twin box culvert
CUL-018,SWC-018,CA-09,North Station Access,North,Collector,Circular,Corrugated metal pipe,900,,,1,33,83.1,82.74,1.09,21/03/2025,Walk-through,46,3,2,Deposited gravel,Outlet erosion,Unknown,0.49,Work order open,09/09/2024,Maintenance request pending
CUL-019,SWC-019,CA-10,Meadowbrook Way,Central,Local,Circular,Reinforced concrete pipe,525,,,1,14.5,109.25,109.12,0.9,24/03/2025,Walk-through,58,4,2,Leaf mat at inlet,Clear outlet,No,0.36,Completed,03/04/2025,Leaf accumulation noted at inlet
CUL-020,SWC-020,CA-10,Meadowbrook Way,Central,Local,Circular,HDPE,450,,,1,11.5,109.03,108.95,0.7,24/03/2025,Walk-through,9,5,5,Clear inlet,Clear outlet,No,0.02,No action,03/04/2025,Adjacent to CUL-019
CUL-021,SWC-021,CA-11,Lakeside Parkway,South,Arterial,Box,Concrete box,,,1200,1,40,75.34,74.92,1.05,25/03/2025,Walk-through,31,3,3,Sediment at invert,Vegetated outlet,No,0.4,Monitor,08/08/2024,Access constraints noted at inlet
CUL-022,SWC-022,CA-11,Lakeside Parkway,South,Arterial,Box,Concrete box,,1800,,1,41,75.1,74.62,1.17,25/03/2025,Walk-through,26,4,3,Clear inlet,Clear outlet,No,0.21,No action,08/08/2024,Outlet partly obstructed during inspection
CUL-023,SWC-023,CA-12,Airport Perimeter Road,South,Industrial,Circular,Reinforced concrete pipe,1800,,,2,70,68.42,67.55,1.24,26/03/2025,CCTV spot check,20,4,3,Clear inlet,Outlet scour protection displaced,No,0.25,Monitor,31/01/2025,Large twin crossing
CUL-024,SWC-024,CA-12,Airport Perimeter Road,South,Industrial,Circular,Corrugated metal pipe,1350,,,1,65,68.1,67.72,0.58,26/03/2025,CCTV spot check,66,2,2,Debris jam at inlet,Corroded outlet invert,Yes,0.96,Work order open,30/10/2024,High water mark visible
CUL-025,SWC-025,CA-13,Greenfield Connector,East,Collector,Pipe arch,HDPE,,1200,800,1,22,94.28,94.02,1.18,27/03/2025,Walk-through,14,4,4,Clear inlet,Clear outlet,No,0.08,No action,20/06/2024,Newer plastic barrel
CUL-026,SWC-026,CA-13,Greenfield Connector,East,Collector,Circular,Reinforced concrete pipe,750,,,1,28.5,93.8,93.46,1.19,27/03/2025,Walk-through,52,3,2,Sediment and trash,Vegetated outlet,Unknown,0.62,Routine clean,20/06/2024,Complaint history
CUL-027,SWC-027,CA-14,South Farm Road,Rural,Local,Circular,Corrugated metal pipe,600,,,1,19,121.16,121.04,0.63,28/03/2025,Walk-through,36,3,3,Agricultural debris,Minor erosion,No,0.3,Monitor,12/11/2024,Farm crossing
CUL-028,SWC-028,CA-14,South Farm Road,Rural,Local,Box,Concrete box,,900,750,1,25,120.88,120.95,0.8,28/03/2025,Walk-through,15,4,4,Clear inlet,Clear outlet,No,0.05,No action,12/11/2024,Invert recheck requested during inspection cycle
CUL-029,SWC-029,CA-15,Mill Creek Bypass,West,Arterial,Circular,Reinforced concrete pipe,2100,,,3,78,86.2,85.39,1.04,31/03/2025,CCTV spot check,12,4,4,Clear inlet,Outlet riprap displaced,No,0.22,Monitor,18/02/2025,Triple-barrel trunk crossing
CUL-030,SWC-030,CA-15,Mill Creek Bypass,West,Arterial,Circular,Corrugated metal pipe,1200,,,2,54,85.74,84.96,1.44,31/03/2025,Walk-through,79,2,1,Inlet mostly blocked,Outlet submerged,Yes,1.18,Emergency review,05/10/2024,High-water mark and inlet obstruction observed
CUL-031,SWC-031,CA-16,Elmwood Terrace,Central,Local,Circular,HDPE,525,,,1,13,113.82,113.72,0.77,01/04/2025,Walk-through,7,5,5,Clear inlet,Clear outlet,No,0,No action,24/02/2025,Residential culvert
CUL-032,SWC-032,CA-16,Elmwood Terrace,Central,Local,Circular,Reinforced concrete pipe,600,,,1,17.5,113.54,113.33,1.2,01/04/2025,Walk-through,44,3,3,Sediment at inlet,Clear outlet,No,0.26,Routine clean,03/12/2024,Sediment from upstream ditch
CUL-033,SWC-033,CA-17,Bayview Road,South,Collector,Box,Concrete box,,1500,900,1,38,72.14,71.7,1.16,02/04/2025,Walk-through,50,3,2,Trash and sediment,Outlet backwater,No,0.92,Monitor,30/07/2024,Backwater noted near pavement edge
CUL-034,SWC-034,CA-17,Bayview Road,South,Collector,Pipe arch,Corrugated metal pipe,,1800,1100,1,35,72,71.58,1.2,02/04/2025,Walk-through,18,4,4,Clear inlet,Minor outlet vegetation,No,0.14,No action,30/07/2024,Near tidal outfall
CUL-035,SWC-035,CA-18,Ridgecrest Highway,Rural,Arterial,Circular,Reinforced concrete pipe,1500,,,1,60,126.6,125.88,1.2,03/04/2025,CCTV spot check,33,3,3,Sediment berm,Clear outlet,No,0.39,Monitor,14/05/2024,Long rural barrel
CUL-036,SWC-036,CA-18,Ridgecrest Highway,Rural,Arterial,Box,Concrete box,,3000,1800,2,72,125.94,125.15,1.1,03/04/2025,CCTV spot check,11,4,4,Clear inlet,Clear outlet,No,0.18,No action,14/05/2024,Large dual box
CUL-037,SWC-037,CA-19,Foundry Spur,Industrial,Industrial,Circular,Corrugated metal pipe,900,,,1,31.5,80.6,80.21,1.24,04/04/2025,Walk-through,61,2,2,Debris and corrosion,Scour and corrosion,No,0.74,No action,22/04/2024,Industrial drainage crossing with debris at inlet
CUL-038,SWC-038,CA-19,Foundry Spur,Industrial,Industrial,Circular,Reinforced concrete pipe,1050,,,1,37,80.18,79.76,1.14,04/04/2025,Walk-through,25,3,3,Clear inlet,Minor scour,No,0.2,Monitor,22/04/2024,Near rail crossing
CUL-039,SWC-039,CA-20,Highland Court,North,Local,Circular,HDPE,375,,,1,8,118.5,118.47,0.38,07/04/2025,Walk-through,65,4,2,Leaf blockage,Standing water,No,0.44,Routine clean,23/10/2024,Small inlet sensitive to leaves
CUL-040,SWC-040,CA-20,Highland Court,North,Local,Circular,Reinforced concrete pipe,600,,,1,16.5,118.2,118.05,0.91,07/04/2025,Walk-through,21,4,4,Clear inlet,Clear outlet,No,0.06,No action,23/10/2024,Residential drainage
CUL-041,SWC-041,CA-21,Creekside Trail,East,Shared-use path,Circular,HDPE,450,,,1,10.5,99.3,99.22,0.76,08/04/2025,Walk-through,47,4,3,Sediment and grass,Clear outlet,No,0.29,Monitor,02/03/2025,Trail crossing
CUL-042,SWC-042,CA-21,Creekside Trail,East,Shared-use path,Box,Concrete box,,1200,750,1,24,98.96,98.7,1.08,08/04/2025,Walk-through,82,2,1,Inlet nearly blocked,Outlet submerged,Unknown,1.05,Work order open,02/03/2025,Severe sediment at pedestrian crossing